genome_name,species,Assembly_version_NCBI,Accession,Complete7tm,Completeno7tm,Complete_Total,Ambiguous,Edge,Pseudogene,Truncated
Erinaceus_europaeus,Erinaceus_europaeus,GCA_000296755.1_EriEur2.0,GCA_000296755.1,20,0,20,0,1,17,2
Orycteropus_afer_afer,Orycteropus_afer_afer,GCA_000298275.1_OryAfe1.0,GCA_000298275.1,13,2,15,0,1,7,1
Bos_mutus,Bos_mutus,GCA_000298355.1_BosGru_v2.0,GCA_000298355.1,18,3,21,0,2,15,0
Elephantulus_edwardii,Elephantulus_edwardii,GCA_000299155.1_EleEdw1.0,GCA_000299155.1,27,3,30,0,0,1,0
Eptesicus_fuscus,Eptesicus_fuscus,GCA_000308155.1_EptFus1.0,GCA_000308155.1,19,0,19,0,1,2,1
Echinops_telfairi,Echinops_telfairi,GCA_000313985.2_ASM31398v2,GCA_000313985.2,16,2,18,7,2,7,2
Odobenus_rosmarus_divergens,Odobenus_rosmarus_divergens,GCA_000321225.1_Oros_1.0,GCA_000321225.1,5,1,6,0,0,20,2
Myotis_davidii,Myotis_davidii,GCA_000327345.1_ASM32734v1,GCA_000327345.1,24,3,27,1,6,9,0
Pseudopodoces_humilis,Pseudopodoces_humilis,GCA_000331425.1_PseHum1.0,GCA_000331425.1,3,1,4,1,2,1,0
Amazona_vittata,Amazona_vittata,GCA_000332375.2_ASM33237v2,GCA_000332375.2,2,0,2,0,0,0,0
Tupaia_chinensis,Tupaia_chinensis,GCA_000334495.1_TupChi_1.0,GCA_000334495.1,37,1,38,0,1,24,2
Leptonychotes_weddellii,Leptonychotes_weddellii,GCA_000349705.1_LepWed1.0,GCA_000349705.1,4,3,7,2,2,14,1
Zonotrichia_albicollis,Zonotrichia_albicollis,GCA_000385455.1_Zonotrichia_albicollis-1.0.1,GCA_000385455.1,6,3,9,1,1,2,0
Apalone_spinifera,Apalone_spinifera,GCA_000385615.1_ASM38561v1,GCA_000385615.1,5,4,9,0,1,4,1
Ara_macao,Ara_macao,GCA_000400695.1_SMACv1.1,GCA_000400695.1,2,0,2,0,0,0,0
Pantholops_hodgsonii,Pantholops_hodgsonii,GCA_000400835.1_PHO1.0,GCA_000400835.1,14,2,16,0,0,20,2
Myotis_brandtii,Myotis_brandtii,GCA_000412655.1_ASM41265v1,GCA_000412655.1,25,1,26,3,5,7,0
Lipotes_vexillifer,Lipotes_vexillifer,GCA_000442215.1_Lipotes_vexillifer_v1,GCA_000442215.1,0,0,0,1,0,8,2
Alligator_sinensis,Alligator_sinensis,GCA_000455745.1_ASM45574v1,GCA_000455745.1,6,1,7,0,0,6,1
Panthera_tigris_altaica,Panthera_tigris_altaica,GCA_000464555.1_PanTig1.0,GCA_000464555.1,11,2,13,1,0,13,0
Eidolon_helvum,Eidolon_helvum,GCA_000465285.1_ASM46528v1,GCA_000465285.1,13,0,13,0,0,10,0
Pteronotus_parnellii,Pteronotus_parnellii,GCA_000465405.1_ASM46540v1,GCA_000465405.1,18,3,21,2,2,9,0
Sebastes_nigrocinctus,Sebastes_nigrocinctus,GCA_000475235.3_ASM47523v3,GCA_000475235.3,3,0,3,0,0,0,0
Balaenoptera_acutorostrata_scammoni,Balaenoptera_acutorostrata_scammoni,GCA_000493695.1_BalAcu1.0,GCA_000493695.1,1,2,3,1,0,9,0
Anoplopoma_fimbria,Anoplopoma_fimbria,GCA_000499045.2_NWFSC_Afim_r7.pbjelly,GCA_000499045.2,3,0,3,0,0,0,0
Ophiophagus_hannah,Ophiophagus_hannah,GCA_000516915.1_OphHan1.0,GCA_000516915.1,2,0,2,0,0,0,0
Lyrurus_tetrix_tetrix,Lyrurus_tetrix_tetrix,GCA_000586395.1_tetTet1,GCA_000586395.1,0,0,0,0,4,0,0
Nannospalax_galili,Nannospalax_galili,GCA_000622305.1_S.galili_v1.0,GCA_000622305.1,32,1,33,1,8,26,1
Egretta_garzetta,Egretta_garzetta,GCA_000687185.1_ASM68718v1,GCA_000687185.1,1,0,1,0,0,2,0
Phaethon_lepturus,Phaethon_lepturus,GCA_000687285.1_ASM68728v1,GCA_000687285.1,1,0,1,0,0,1,0
Pelecanus_crispus,Pelecanus_crispus,GCA_000687375.1_ASM68737v1,GCA_000687375.1,1,0,1,0,0,1,1
Cavia_aperea,Cavia_aperea,GCA_000688575.1_CavAp1.0,GCA_000688575.1,5,0,5,37,21,2,1
Colius_striatus,Colius_striatus,GCA_000690715.1_ASM69071v1,GCA_000690715.1,2,0,2,1,1,0,0
Stegastes_partitus,Stegastes_partitus,GCA_000690725.1_Stegastes_partitus-1.0.2,GCA_000690725.1,4,0,4,0,0,1,0
Eurypyga_helias,Eurypyga_helias,GCA_000690775.1_ASM69077v1,GCA_000690775.1,2,0,2,0,0,0,0
Fulmarus_glacialis,Fulmarus_glacialis,GCA_000690835.1_ASM69083v1,GCA_000690835.1,2,0,2,0,0,0,0
Gavia_stellata,Gavia_stellata,GCA_000690875.1_ASM69087v1,GCA_000690875.1,0,1,1,0,0,1,1
Haliaeetus_albicilla,Haliaeetus_albicilla,GCA_000691405.1_ASM69140v1,GCA_000691405.1,2,0,2,0,0,1,0
Leptosomus_discolor,Leptosomus_discolor,GCA_000691785.1_ASM69178v1,GCA_000691785.1,2,0,2,0,0,0,0
Corvus_brachyrhynchos,Corvus_brachyrhynchos,GCA_000691975.1_ASM69197v1,GCA_000691975.1,4,3,7,2,0,2,0
Opisthocomus_hoazin,Opisthocomus_hoazin,GCA_000692075.1_ASM69207v1,GCA_000692075.1,4,0,4,0,2,0,0
Chlamydotis_macqueenii,Chlamydotis_macqueenii,GCA_000695195.1_ASM69519v1,GCA_000695195.1,2,0,2,0,2,0,0
Mesitornis_unicolor,Mesitornis_unicolor,GCA_000695765.1_ASM69576v1,GCA_000695765.1,3,0,3,0,0,0,0
Galeopterus_variegatus,Galeopterus_variegatus,GCA_000696425.1_G_variegatus-3.0.2,GCA_000696425.1,16,1,17,3,4,14,1
Equus_przewalskii,Equus_przewalskii,GCA_000696695.1_Burgud,GCA_000696695.1,23,1,24,0,0,32,2
Nestor_notabilis,Nestor_notabilis,GCA_000696875.1_ASM69687v1,GCA_000696875.1,1,0,1,0,0,1,0
Pampus_argenteus,Pampus_argenteus,GCA_000697985.1_PamArg1.0,GCA_000697985.1,0,0,0,1,0,0,0
Struthio_camelus_australis,Struthio_camelus_australis,GCA_000698965.1_ASM69896v1,GCA_000698965.1,1,0,1,0,0,1,0
Pygoscelis_adeliae,Pygoscelis_adeliae,GCA_000699105.1_ASM69910v1,GCA_000699105.1,0,0,0,0,0,2,1
Aptenodytes_forsteri,Aptenodytes_forsteri,GCA_000699145.1_ASM69914v1,GCA_000699145.1,0,0,0,0,0,3,0
Podiceps_cristatus,Podiceps_cristatus,GCA_000699545.1_ASM69954v1,GCA_000699545.1,1,0,1,0,0,1,0
Cathartes_aura,Cathartes_aura,GCA_000699945.1_ASM69994v1,GCA_000699945.1,2,0,2,0,0,1,0
Antrostomus_carolinensis,Antrostomus_carolinensis,GCA_000700745.2_ASM70074v2,GCA_000700745.2,3,0,3,0,0,0,0
Apaloderma_vittatum,Apaloderma_vittatum,GCA_000703405.1_ASM70340v1,GCA_000703405.1,5,0,5,0,7,1,0
Tinamus_guttatus,Tinamus_guttatus,GCA_000705375.2_ASM70537v2,GCA_000705375.2,2,0,2,0,0,0,0
Charadrius_vociferus,Charadrius_vociferus,GCA_000708025.2_ASM70802v2,GCA_000708025.2,3,0,3,0,0,0,0
Nipponia_nippon,Nipponia_nippon,GCA_000708225.1_ASM70822v1,GCA_000708225.1,2,0,2,0,0,0,0
Phalacrocorax_carbo,Phalacrocorax_carbo,GCA_000708925.1_ASM70892v1,GCA_000708925.1,1,0,1,0,0,2,0
Buceros_rhinoceros_silvestris,Buceros_rhinoceros_silvestris,GCA_000710305.1_ASM71030v1,GCA_000710305.1,1,0,1,0,2,1,0
Notothenia_coriiceps,Notothenia_coriiceps,GCA_000735185.1_NC01,GCA_000735185.1,3,0,3,1,0,2,0
Crotalus_pyrrhus,Crotalus_pyrrhus,GCA_000737285.1_CrotMitch1.0,GCA_000737285.1,1,0,1,0,0,1,0
Haliaeetus_leucocephalus,Haliaeetus_leucocephalus,GCA_000737465.1_Haliaeetus_leucocephalus-4.0,GCA_000737465.1,2,0,2,0,0,1,0
Chaetura_pelagica,Chaetura_pelagica,GCA_000747805.2_ChaPel_1.1,GCA_000747805.2,4,0,4,0,2,0,1
Cervus_capreolus,Cervus_capreolus,GCA_000751575.1_kmer631,GCA_000751575.1,15,4,19,2,8,14,0
Bison_bison_bison,Bison_bison_bison,GCA_000754665.1_Bison_UMD1.0,GCA_000754665.1,17,1,18,0,0,18,1
Ovis_aries_musimon,Ovis_aries_musimon,GCA_000765115.1_Oori1,GCA_000765115.1,15,1,16,0,0,22,2
Aquila_chrysaetos_canadensis,Aquila_chrysaetos_canadensis,GCA_000766835.1_Aquila_chrysaetos-1.0.2,GCA_000766835.1,2,0,2,0,0,1,0
Vicugna_pacos_huacaya,Vicugna_pacos_huacaya,GCA_000767525.1_Vi_pacos_V1.0,GCA_000767525.1,12,1,13,0,0,7,0
Camelus_bactrianus,Camelus_bactrianus,GCA_000767855.1_Ca_bactrianus_MBC_1.0,GCA_000767855.1,10,0,10,0,0,8,2
Cyprinodon_nevadensis_pectoralis,Cyprinodon_nevadensis_pectoralis,GCA_000776015.1_ASM77601v1,GCA_000776015.1,1,0,1,2,1,0,0
Periophthalmodon_schlosseri,Periophthalmodon_schlosseri,GCA_000787095.1_PS.fa,GCA_000787095.1,3,0,3,0,0,1,0
Scartelaos_histophorus,Scartelaos_histophorus,GCA_000787155.1_SH.fa,GCA_000787155.1,3,0,3,0,0,1,0
Pseudopleuronectes_yokohamae,Pseudopleuronectes_yokohamae,GCA_000787555.1_Pyoko_1.0,GCA_000787555.1,3,0,3,0,5,0,0
Boleophthalmus_pectinirostris,Boleophthalmus_pectinirostris,GCA_000788275.1_BP.fa,GCA_000788275.1,3,0,3,0,0,1,0
Vipera_berus_berus,Vipera_berus_berus,GCA_000800605.1_Vber.be_1.0,GCA_000800605.1,1,1,2,0,0,0,0
Colobus_angolensis_palliatus,Colobus_angolensis_palliatus,GCA_000951035.1_Cang.pa_1.0,GCA_000951035.1,22,3,25,1,0,13,1
Mandrillus_leucophaeus,Mandrillus_leucophaeus,GCA_000951045.1_Mleu.le_1.0,GCA_000951045.1,27,3,30,1,2,14,1
Aotus_nancymaae,Aotus_nancymaae,GCA_000952055.2_Anan_2.0,GCA_000952055.2,19,0,19,0,0,11,1
Cercocebus_atys,Cercocebus_atys,GCA_000955945.1_Caty_1.0,GCA_000955945.1,28,4,32,0,0,15,1
Macaca_nemestrina,Macaca_nemestrina,GCA_000956065.1_Mnem_1.0,GCA_000956065.1,28,0,28,1,0,19,1
Propithecus_coquereli,Propithecus_coquereli,GCA_000956105.1_Pcoq_1.0,GCA_000956105.1,19,2,21,6,14,9,0
Anser_cygnoides_domesticus,Anser_cygnoides_domesticus,GCA_000971095.1_AnsCyg_PRJNA183603_v1.0,GCA_000971095.1,3,0,3,0,0,0,0
Balaenoptera_bonaerensis,Balaenoptera_bonaerensis,GCA_000978805.1_ASM97880v1,GCA_000978805.1,1,1,2,0,2,10,0
Apteryx_mantelli_mantelli,Apteryx_mantelli_mantelli,GCA_001039765.2_AptMant0,GCA_001039765.2,2,0,2,0,0,1,0
Thamnophis_sirtalis,Thamnophis_sirtalis,GCA_001077635.2_Thamnophis_sirtalis-6.0,GCA_001077635.2,0,0,0,0,0,0,0
Pantherophis_guttatus,Pantherophis_guttatus,GCA_001185365.2_UNIGE_PanGut_3.0,GCA_001185365.2,2,0,2,0,0,0,0
Eulemur_macaco,Eulemur_macaco,GCA_001262655.1_Emacaco_refEf_BWA_oneround,GCA_001262655.1,19,2,21,0,3,12,0
Eulemur_flavifrons,Eulemur_flavifrons,GCA_001262665.1_Eflavifronsk33QCA,GCA_001262665.1,18,1,19,0,4,6,0
Austrofundulus_limnaeus,Austrofundulus_limnaeus,GCA_001266775.1_Austrofundulus_limnaeus-1.0,GCA_001266775.1,2,0,2,0,0,0,0
Zosterops_lateralis_melanops,Zosterops_lateralis_melanops,GCA_001281735.1_ASM128173v1,GCA_001281735.1,12,3,15,1,1,0,0
Apodemus_sylvaticus,Apodemus_sylvaticus,GCA_001305905.1_ASM130590v1,GCA_001305905.1,23,1,24,20,20,8,0
Calidris_pugnax,Calidris_pugnax,GCA_001431845.1_ASM143184v1,GCA_001431845.1,4,0,4,0,0,0,1
Poecilia_latipinna,Poecilia_latipinna,GCA_001443285.1_P_latipinna-1.0,GCA_001443285.1,1,0,1,0,0,1,0
Poecilia_mexicana,Poecilia_mexicana,GCA_001443325.1_P_mexicana-1.0,GCA_001443325.1,1,0,1,0,0,1,0
Gekko_japonicus,Gekko_japonicus,GCA_001447785.1_Gekko_japonicus_V1.1,GCA_001447785.1,47,9,56,0,8,24,14
Cottus_rhenanus,Cottus_rhenanus,GCA_001455555.1_ASM145555v1,GCA_001455555.1,1,0,1,1,0,0,0
Marmota_marmota_marmota,Marmota_marmota_marmota,GCA_001458135.2_marMar,GCA_001458135.2,17,1,18,0,0,15,3
Sinocyclocheilus_anshuiensis,Sinocyclocheilus_anshuiensis,GCA_001515605.1_SAMN03320099.WGS_v1.1,GCA_001515605.1,5,1,6,0,3,2,0
Sinocyclocheilus_rhinocerous,Sinocyclocheilus_rhinocerous,GCA_001515625.1_SAMN03320098_v1.1,GCA_001515625.1,5,1,6,0,4,2,0
Sinocyclocheilus_grahami,Sinocyclocheilus_grahami,GCA_001515645.1_SAMN03320097.WGS_v1.1,GCA_001515645.1,6,0,6,0,0,1,2
Protobothrops_mucrosquamatus,Protobothrops_mucrosquamatus,GCA_001527695.3_P.Mucros_1.0,GCA_001527695.3,1,1,2,0,0,0,0
Miichthys_miiuy,Miichthys_miiuy,GCA_001593715.1_ASM159371v1,GCA_001593715.1,5,0,5,0,0,0,0
Miniopterus_natalensis,Miniopterus_natalensis,GCA_001595765.1_Mnat.v1,GCA_001595765.1,17,0,17,2,0,6,1
Lepidothrix_coronata,Lepidothrix_coronata,GCA_001604755.1_Lepidothrix_coronata-1.0,GCA_001604755.1,5,0,5,0,1,0,0
Cebus_imitator,Cebus_imitator,GCA_001604975.1_Cebus_imitator-1.0,GCA_001604975.1,21,1,22,0,0,11,0
Crotalus_horridus,Crotalus_horridus,GCA_001625485.1_ASM162548v1,GCA_001625485.1,1,0,1,0,0,1,0
Lates_calcarifer,Lates_calcarifer,GCA_001640805.2_TLL_Latcal_v3,GCA_001640805.2,2,0,2,0,0,3,0
Phylloscopus_trochiloides_viridanus,Phylloscopus_trochiloides_viridanus,GCA_001655095.1_GWvir1.0,GCA_001655095.1,1,0,1,0,9,0,0
Phylloscopus_plumbeitarsus,Phylloscopus_plumbeitarsus,GCA_001655115.1_GWplu1.0,GCA_001655115.1,1,0,1,1,9,0,0
Phylloscopus_trochiloides_trochiloides,Phylloscopus_trochiloides_trochiloides,GCA_001655135.1_GWtro1.0,GCA_001655135.1,1,0,1,0,13,0,0
Neotoma_lepida,Neotoma_lepida,GCA_001675575.1_ASM167557v1,GCA_001675575.1,13,0,13,39,4,5,0
Ellobius_lutescens,Ellobius_lutescens,GCA_001685075.1_ASM168507v1,GCA_001685075.1,24,2,26,1,1,13,0
Ellobius_talpinus,Ellobius_talpinus,GCA_001685095.1_ETalpinus_0.1,GCA_001685095.1,19,4,23,5,7,14,0
Rhinopithecus_bieti,Rhinopithecus_bieti,GCA_001698545.2_ASM169854v2,GCA_001698545.2,18,2,20,0,0,24,1
Mola_mola,Mola_mola,GCA_001698575.1_ASM169857v1,GCA_001698575.1,1,1,2,0,0,0,1
Manacus_vitellinus,Manacus_vitellinus,GCA_001715985.3_ASM171598v3,GCA_001715985.3,8,0,8,1,2,2,0
Crocodylus_porosus,Crocodylus_porosus,GCA_001723895.1_CroPor_comp1,GCA_001723895.1,2,0,2,0,0,3,0
Gavialis_gangeticus,Gavialis_gangeticus,GCA_001723915.1_GavGan_comp1,GCA_001723915.1,1,1,2,0,0,2,0
Malaclemys_terrapin_terrapin,Malaclemys_terrapin_terrapin,GCA_001728815.2_terp_v2_2,GCA_001728815.2,5,2,7,0,0,22,0
Panthera_pardus,Panthera_pardus,GCA_001857705.1_PanPar1.0,GCA_001857705.1,12,1,13,0,0,14,0
Tympanuchus_cupido_pinnatus,Tympanuchus_cupido_pinnatus,GCA_001870855.1_T_cupido_pinnatus_GPC_3440_v1,GCA_001870855.1,2,0,2,0,0,1,0
Rhinolophus_sinicus,Rhinolophus_sinicus,GCA_001888835.1_ASM188883v1,GCA_001888835.1,16,1,17,0,3,5,1
Hipposideros_armiger,Hipposideros_armiger,GCA_001890085.1_ASM189008v1,GCA_001890085.1,19,0,19,1,2,6,0
Hippocampus_comes,Hippocampus_comes,GCA_001891065.2_H_comes_QL1_v1.1,GCA_001891065.2,2,0,2,0,0,0,0
Monopterus_albus,Monopterus_albus,GCA_001952655.1_M_albus_1.0,GCA_001952655.1,1,0,1,0,0,0,1
Castor_canadensis,Castor_canadensis,GCA_001984765.1_C.can_genome_v1.0,GCA_001984765.1,27,3,30,0,1,50,0
Ciconia_boyciana,Ciconia_boyciana,GCA_002002965.1_Ciconia_boyciana_ver1.0,GCA_002002965.1,2,0,2,0,0,1,0
Grus_japonensis,Grus_japonensis,GCA_002002985.1_Grus_japonensis_ver1.0,GCA_002002985.1,2,0,2,0,0,0,1
Hypotaenidia_okinawae,Hypotaenidia_okinawae,GCA_002003005.1_Gallirallus_okinawae_ver1.0,GCA_002003005.1,1,0,1,0,0,2,0
Ailurus_styani,Ailurus_styani,GCA_002007465.1_ASM200746v1,GCA_002007465.1,17,1,18,0,1,5,1
Patagioenas_fasciata_monilis,Patagioenas_fasciata_monilis,GCA_002029285.1_NIATT_ARIZONA,GCA_002029285.1,1,0,1,0,0,1,0
Phascolarctos_cinereus,Phascolarctos_cinereus,GCA_002099425.1_phaCin_unsw_v4.1,GCA_002099425.1,25,5,30,0,0,42,1
Odocoileus_virginianus_texanus,Odocoileus_virginianus_texanus,GCA_002102435.1_Ovir.te_1.0,GCA_002102435.1,19,2,21,0,0,16,0
Maccullochella_peelii,Maccullochella_peelii,GCA_002120245.1_mcod_v1,GCA_002120245.1,1,0,1,0,0,0,0
Anser_cygnoides,Anser_cygnoides,GCA_002166845.1_GooseV1.0,GCA_002166845.1,3,0,3,0,0,0,0
Sporophila_hypoxantha,Sporophila_hypoxantha,GCA_002167245.1_SpoHypox2.0,GCA_002167245.1,2,1,3,0,2,4,1
Phalacrocorax_pelagicus,Phalacrocorax_pelagicus,GCA_002173435.1_ASM217343v1,GCA_002173435.1,1,0,1,0,0,2,0
Phalacrocorax_auritus,Phalacrocorax_auritus,GCA_002173455.1_ASM217345v1,GCA_002173455.1,1,0,1,0,1,2,0
Phalacrocorax_harrisi,Phalacrocorax_harrisi,GCA_002173475.1_Pharrisi_ref_V1,GCA_002173475.1,1,0,1,0,0,2,0
Phalacrocorax_brasilianus,Phalacrocorax_brasilianus,GCA_002174335.1_ASM217433v1,GCA_002174335.1,1,0,1,0,0,2,0
Eschrichtius_robustus,Eschrichtius_robustus,GCA_002189225.1_ASM218922v1,GCA_002189225.1,1,1,2,0,3,10,0
Ammotragus_lervia,Ammotragus_lervia,GCA_002201775.1_ALER1.0,GCA_002201775.1,19,1,20,0,2,16,2
Meriones_unguiculatus,Meriones_unguiculatus,GCA_002204375.1_MunDraft-v1.0,GCA_002204375.1,28,2,30,0,0,12,0
Seriola_quinqueradiata,Seriola_quinqueradiata,GCA_002217815.1_Squ_2.0,GCA_002217815.1,2,0,2,0,0,1,1
Callipepla_squamata,Callipepla_squamata,GCA_002218305.1_ASM221830v1,GCA_002218305.1,5,1,6,2,0,0,0
Anas_zonorhyncha,Anas_zonorhyncha,GCA_002224875.1_ASM222487v1,GCA_002224875.1,3,0,3,1,0,0,1
Seriola_dumerili,Seriola_dumerili,GCA_002260705.1_Sdu_1.0,GCA_002260705.1,4,0,4,0,0,0,0
Lithobates_catesbeianus,Lithobates_catesbeianus,GCA_002284835.2_RCv2.1,GCA_002284835.2,176,16,192,3,44,27,12
Enhydra_lutris_kenyoni,Enhydra_lutris_kenyoni,GCA_002288905.2_ASM228890v2,GCA_002288905.2,11,2,13,0,0,13,1
Delphinapterus_leucas,Delphinapterus_leucas,GCA_002288925.3_ASM228892v3,GCA_002288925.3,0,0,0,0,0,11,0
Uria_lomvia,Uria_lomvia,GCA_002289315.1_UriLom_1.1,GCA_002289315.1,2,1,3,0,0,0,0
Phylloscopus_trochilus_acredula,Phylloscopus_trochilus_acredula,GCA_002305835.1_ASM230583v1,GCA_002305835.1,3,2,5,0,0,1,1
Apodemus_speciosus,Apodemus_speciosus,GCA_002335545.1_Aspe_assembly01,GCA_002335545.1,24,3,27,5,4,12,1
Strix_occidentalis_caurina,Strix_occidentalis_caurina,GCA_002372975.2_StrOccCau_2.0,GCA_002372975.2,4,0,4,0,0,0,0
Spermophilus_dauricus,Spermophilus_dauricus,GCA_002406435.1_ASM240643v1,GCA_002406435.1,15,0,15,0,5,25,2
Tympanoctomys_barrerae,Tympanoctomys_barrerae,GCA_002564285.1_Tym_barrerae_AO245_v1,GCA_002564285.1,22,5,27,2,35,31,2
Octomys_mimax,Octomys_mimax,GCA_002564305.1_Oct_mimax_AO248_v1,GCA_002564305.1,32,0,32,0,23,31,4
Anser_brachyrhynchus,Anser_brachyrhynchus,GCA_002592135.1_ASM259213v1,GCA_002592135.1,3,0,3,0,0,0,0
Micropterus_floridanus,Micropterus_floridanus,GCA_002592385.1_ASM259238v1,GCA_002592385.1,1,0,1,0,0,1,0
Agapornis_roseicollis,Agapornis_roseicollis,GCA_002631895.1_ASM263189v1,GCA_002631895.1,1,0,1,0,0,1,0
Seriola_lalandi_dorsalis,Seriola_lalandi_dorsalis,GCA_002814215.1_Sedor1,GCA_002814215.1,2,0,2,1,0,1,1
Symphodus_melops,Symphodus_melops,GCA_002819105.1_ASM281910v1,GCA_002819105.1,5,0,5,0,0,0,0
Limosa_lapponica_baueri,Limosa_lapponica_baueri,GCA_002844005.1_Godwit_v1,GCA_002844005.1,3,0,3,0,0,0,0
Dicerorhinus_sumatrensis_sumatrensis,Dicerorhinus_sumatrensis_sumatrensis,GCA_002844835.1_ASM284483v1,GCA_002844835.1,30,2,32,1,4,31,2
Acridotheres_javanicus,Acridotheres_javanicus,GCA_002849675.1_ASM284967v1,GCA_002849675.1,4,2,6,1,1,0,0
Psittacula_krameri,Psittacula_krameri,GCA_002870145.1_P.krameri1.0,GCA_002870145.1,1,0,1,0,0,0,0
Paramormyrops_kingsleyae,Paramormyrops_kingsleyae,GCA_002872115.1_PKINGS_0.1,GCA_002872115.1,2,0,2,0,0,0,0
Coryphaenoides_rupestris,Coryphaenoides_rupestris,GCA_002895965.2_CRUPv2,GCA_002895965.2,10,0,10,0,0,3,1
Gopherus_agassizii,Gopherus_agassizii,GCA_002896415.1_ASM289641v1,GCA_002896415.1,9,1,10,0,1,10,1
Pagrus_major,Pagrus_major,GCA_002897255.1_Pmaj_1.0,GCA_002897255.1,3,1,4,0,5,1,0
Solenodon_paradoxus_woodi,Solenodon_paradoxus_woodi,GCA_002901085.1_ASM290108v1,GCA_002901085.1,13,0,13,1,0,11,1
Cyanistes_caeruleus,Cyanistes_caeruleus,GCA_002901205.1_cyaCae2,GCA_002901205.1,6,1,7,1,0,1,2
Bambusicola_thoracicus,Bambusicola_thoracicus,GCA_002909625.1_Bthov1.0,GCA_002909625.1,3,0,3,0,2,0,0
