accession,chromosome,start,mini,ends
GCA_029890205.1,CM057029.1,133731805,TRUE,0.106970907
GCA_029890205.1,CM057029.1,133752971,TRUE,0.106829566
GCA_029890205.1,CM057029.1,133796072,TRUE,0.106541747
GCA_029890205.1,CM057029.1,133812667,TRUE,0.10643093
GCA_029890205.1,CM057029.1,133827079,TRUE,0.10633469
GCA_029890205.1,CM057029.1,133840261,TRUE,0.106246664
GCA_029890205.1,CM057029.1,133847053,TRUE,0.106201309
GCA_029890205.1,CM057029.1,133853907,TRUE,0.106155539
GCA_029890205.1,CM057029.1,133879015,TRUE,0.105987874
GCA_029890205.1,CM057029.1,133896495,TRUE,0.105871147
GCA_029890205.1,CM057029.1,133920489,TRUE,0.10571092
GCA_029890205.1,CM057029.1,133938474,TRUE,0.105590821
GCA_029890205.1,CM057029.1,133955418,TRUE,0.105477673
GCA_029890205.1,CM057029.1,133976288,TRUE,0.105338308
GCA_029890205.1,CM057029.1,134013854,TRUE,0.105087451
GCA_029890205.1,CM057033.1,88757812,TRUE,0.309523451
GCA_029890205.1,CM057037.1,89003282,TRUE,0.269866653
GCA_907164435.1,CAJQZA010012969.1,12034,FALSE,0.479232209
GCA_907164435.1,CAJQZA010017254.1,1889,FALSE,0.446203459
GCA_907164435.1,OU015376.1,78504701,TRUE,0.473577666
GCA_907164435.1,OU015376.1,78534287,TRUE,0.473379273
GCA_907164435.1,OU015376.1,78540420,TRUE,0.473338148
GCA_907164435.1,OU015376.1,78727759,TRUE,0.472081925
GCA_907164435.1,OU015376.1,79807008,TRUE,0.464844896
GCA_907164435.1,OU015376.1,79810074,TRUE,0.464824336
GCA_907164435.1,OU015376.1,95197684,TRUE,0.361640941
GCA_907164435.1,OU015377.1,14883967,TRUE,0.102927898
GCA_907164435.1,OU015377.1,14905030,TRUE,0.103073556
GCA_907164435.1,OU015377.1,14921941,TRUE,0.103190502
GCA_907164435.1,OU015377.1,14939942,TRUE,0.103314985
GCA_907164435.1,OU015377.1,14965931,TRUE,0.103494708
GCA_907164435.1,OU015377.1,14983583,TRUE,0.103616778
GCA_907164435.1,OU015377.1,15008691,TRUE,0.103790408
GCA_907164435.1,OU015377.1,15015645,TRUE,0.103838498
GCA_907164435.1,OU015377.1,15022408,TRUE,0.103885266
GCA_907164435.1,OU015377.1,15035643,TRUE,0.103976791
GCA_907164435.1,OU015377.1,15050153,TRUE,0.104077133
GCA_907164435.1,OU015377.1,15066836,TRUE,0.104192502
GCA_907164435.1,OU015377.1,15109929,TRUE,0.104490505
GCA_907164435.1,OU015377.1,15131277,TRUE,0.104638134
GCA_907164435.1,OU015377.1,15178661,TRUE,0.104965811
GCA_907164435.1,OU015377.1,15449813,TRUE,0.106840923
GCA_907164435.1,OU015377.1,15453530,TRUE,0.106866628
GCA_907164435.1,OU015377.1,15461442,TRUE,0.106921342
GCA_907164435.1,OU015377.1,15484935,TRUE,0.107083804
GCA_907164435.1,OU015381.1,38910590,TRUE,0.312733911
GCA_907164435.1,OU015382.1,25085572,TRUE,0.213724851
GCA_903995435.1,LR877220.1,26306002,TRUE,0.395723592
GCA_903995435.1,LR877221.1,18124640,TRUE,0.230044768
GCA_903995435.1,LR877221.1,2029903,TRUE,0.025764295
GCA_903995435.1,LR877221.1,2110303,TRUE,0.026784762
GCA_903995435.1,LR877221.1,2113571,TRUE,0.02682624
GCA_903995435.1,LR877221.1,553854,TRUE,0.007029724
GCA_903995435.1,LR877221.1,590939,TRUE,0.007500421
GCA_903995435.1,LR877221.1,597081,TRUE,0.007578377
GCA_903995435.1,LR877221.1,797214,TRUE,0.010118541
GCA_903995435.1,LR877221.1,840338,TRUE,0.010665887
GCA_903995435.1,LR877224.1,55930277,TRUE,0.22585005
GCA_903995435.1,LR877224.1,55960041,TRUE,0.225438076
GCA_903995435.1,LR877224.1,55968260,TRUE,0.225324314
GCA_903995435.1,LR877224.1,55972016,TRUE,0.225272326
GCA_903995435.1,LR877224.1,56103198,TRUE,0.223456591
GCA_903995435.1,LR877224.1,56156822,TRUE,0.222714363
GCA_903995435.1,LR877224.1,56178363,TRUE,0.222416207
GCA_903995435.1,LR877224.1,56195278,TRUE,0.222182081
GCA_903995435.1,LR877224.1,56228199,TRUE,0.22172641
GCA_903995435.1,LR877224.1,56251467,TRUE,0.22140435
GCA_903995435.1,LR877224.1,56264616,TRUE,0.22122235
GCA_903995435.1,LR877224.1,56277751,TRUE,0.221040544
GCA_903995435.1,LR877224.1,56284473,TRUE,0.220947503
GCA_903995435.1,LR877224.1,56298502,TRUE,0.220753322
GCA_903995435.1,LR877224.1,56320897,TRUE,0.220443346
GCA_903995435.1,LR877224.1,56341504,TRUE,0.220158117
GCA_903995435.1,LR877224.1,56369456,TRUE,0.219771224
GCA_903995435.1,LR877224.1,56387277,TRUE,0.219524557
GCA_903995435.1,LR877224.1,56403991,TRUE,0.219293213
GCA_903995435.1,LR877224.1,56439462,TRUE,0.218802247
GCA_903995435.1,LR877224.1,56485439,TRUE,0.218165864
GCA_903995435.1,LR877235.1,33625600,TRUE,0.444015446
GCA_027559615.1,CM050532.1,30644591,TRUE,0.259009549
GCA_027559615.1,CM050532.1,34830333,TRUE,0.294387641
GCA_027559615.1,CM050533.1,111329910,TRUE,0.052114147
GCA_027559615.1,CM050533.1,111335393,TRUE,0.052067464
GCA_027559615.1,CM050533.1,111341484,TRUE,0.052015604
GCA_027559615.1,CM050533.1,111346391,TRUE,0.051973825
GCA_027559615.1,CM050533.1,111351679,TRUE,0.051928802
GCA_027559615.1,CM050533.1,111356372,TRUE,0.051888844
GCA_910950805.1,OU383774.1,28640719,TRUE,0.242924021
GCA_910950805.1,OU383774.1,28652762,TRUE,0.243026167
GCA_910950805.1,OU383774.1,28655751,TRUE,0.243051519
GCA_910950805.1,OU383774.1,28658738,TRUE,0.243076854
GCA_910950805.1,OU383774.1,32729926,TRUE,0.277607739
GCA_910950805.1,OU383775.1,109279159,TRUE,0.049551709
GCA_910950805.1,OU383775.1,109292468,TRUE,0.049435955
GCA_910950805.1,OU383775.1,109298235,TRUE,0.049385797
GCA_910950805.1,OU383775.1,109302953,TRUE,0.049344762
GCA_910950805.1,OU383775.1,109316074,TRUE,0.049230643
GCA_910950805.1,OU383775.1,109321218,TRUE,0.049185904
GCA_910950805.1,OU383775.1,109327786,TRUE,0.049128779
GCA_910950805.1,OU383775.1,109332898,TRUE,0.049084318
GCA_910950805.1,OU383775.1,109337685,TRUE,0.049042683
GCA_029620275.1,CM056144.1,10089360,FALSE,0.272870257
GCA_029620275.1,CM056144.1,16659799,FALSE,0.450570069
GCA_029620275.1,CM056148.1,14576275,FALSE,0.467897676
GCA_029620275.1,CM056148.1,26992257,FALSE,0.133549942
GCA_020745825.3,CM036715.2,85826817,TRUE,0.275841563
GCA_020745825.3,CM036715.2,89940128,TRUE,0.241135756
GCA_020745825.3,CM036715.2,89946691,TRUE,0.241080382
GCA_020745825.3,CM036715.2,89949707,TRUE,0.241054934
GCA_020745825.3,CM036715.2,89963001,TRUE,0.240942767
GCA_020745825.3,CM036715.2,89985918,TRUE,0.240749406
GCA_020745825.3,CM036716.1,109913806,TRUE,0.039808144
GCA_020745825.3,CM036716.1,109918388,TRUE,0.039768117
GCA_020745825.3,CM036716.1,109928042,TRUE,0.039683781
GCA_020745825.3,CM036716.1,109931086,TRUE,0.039657189
GCA_020745825.3,CM036716.1,70836759,TRUE,0.38117984
GCA_020745825.3,CM036716.1,70843327,TRUE,0.381122462
GCA_028640845.1,CM054098.1,8082001,TRUE,0.057731725
GCA_028640845.1,CM054098.1,8086791,TRUE,0.057765941
GCA_002007445.3,CM022819.1,151746794,TRUE,0.28680676
GCA_002007445.3,CM022819.1,200121859,TRUE,0.059449275
GCA_002007445.3,CM022819.1,200309425,TRUE,0.058567736
GCA_002007445.3,CM022819.1,201059624,TRUE,0.055041883
GCA_002007445.3,CM022819.1,201083917,TRUE,0.054927708
GCA_002007445.3,CM022819.1,201289534,TRUE,0.053961331
GCA_002007445.3,CM022821.1,140091830,TRUE,0.051047864
GCA_002007445.3,CM022834.1,10760221,TRUE,0.117801552
GCA_002007445.3,CM022834.1,10780787,TRUE,0.118026706
GCA_002007445.3,CM022834.1,10816558,TRUE,0.118418322
GCA_002007445.3,CM022834.1,10895888,TRUE,0.119286817
GCA_002007445.3,LNAT02004837.1,4445,FALSE,0.442073553
GCA_022829145.1,CM040744.1,28658136,TRUE,0.396411443
GCA_022829145.1,CM040744.1,28660001,TRUE,0.396372163
GCA_022829145.1,CM040744.1,34581268,TRUE,0.271660319
GCA_022829145.1,CM040745.1,16001156,TRUE,0.378529593
GCA_008658365.1,CM018076.1,211915179,TRUE,0.018331733
GCA_008658365.1,CM018078.1,118676055,TRUE,0.054450454
GCA_026122505.1,CM047479.1,154162781,TRUE,0.402856291
GCA_026122505.1,CM047479.1,155294103,TRUE,0.405812648
GCA_026122505.1,CM047479.1,155397331,TRUE,0.406082402
GCA_026122505.1,CM047479.1,155550766,TRUE,0.406483356
GCA_026122505.1,CM047479.1,155678147,TRUE,0.406816227
GCA_026122505.1,CM047479.1,360323662,TRUE,0.05840662
GCA_026122505.1,CM047481.1,142834400,TRUE,0.337535353
GCA_026122505.1,CM047481.1,142853197,TRUE,0.337448173
GCA_026122505.1,CM047481.1,142897272,TRUE,0.337243753
GCA_026122505.1,CM047481.1,142932687,TRUE,0.337079499
GCA_026122505.1,CM047481.1,142976285,TRUE,0.336877292
GCA_026122505.1,CM047481.1,143678619,TRUE,0.333619873
GCA_026122505.1,CM047481.1,16289123,TRUE,0.075548804
GCA_026122505.1,CM047481.1,38959687,TRUE,0.180694674
GCA_026122505.1,CM047481.1,38971463,TRUE,0.180749291
GCA_026122505.1,CM047481.1,38991047,TRUE,0.180840121
GCA_017589495.2,CM030048.1,15593197,TRUE,0.410859393
GCA_017589495.2,CM030048.1,34659688,TRUE,0.086764672
GCA_017589495.2,CM030050.1,27883039,TRUE,0.249231785
GCA_018492685.1,CM031717.1,27451189,TRUE,0.381622249
GCA_018492685.1,CM031717.1,3773418,TRUE,0.0850017
GCA_018492685.1,CM031723.1,29612962,TRUE,0.238981987
GCA_017639355.1,CM029889.1,5160460,TRUE,0.040711566
GCA_017639355.1,CM029890.1,19621370,TRUE,0.162609414
GCA_012411365.1,CM022758.1,26302476,TRUE,0.271280297
GCA_012411365.1,CM022758.1,9951798,TRUE,0.275718198
GCA_012411365.1,CM022780.1,11915766,TRUE,0.171655001
GCA_017591415.1,CM030127.1,32825655,TRUE,0.23622329
GCA_027887145.1,CM051184.1,32893796,TRUE,0.269606448
GCA_027887145.1,CM051184.1,32900559,TRUE,0.26966188
GCA_027887145.1,CM051184.1,32907036,TRUE,0.269714967
GCA_027887145.1,CM051184.1,36941611,TRUE,0.302783435
GCA_027887145.1,CM051185.1,112106238,TRUE,0.060256693
GCA_027887145.1,CM051185.1,112112251,TRUE,0.060206288
GCA_027887145.1,CM051185.1,112116862,TRUE,0.060167636
GCA_027887145.1,CM051185.1,112125132,TRUE,0.060098312
GCA_027887145.1,CM051185.1,112135456,TRUE,0.06001177
GCA_027887145.1,CM051185.1,112146025,TRUE,0.059923174
GCA_027887145.1,CM051185.1,112150344,TRUE,0.05988697
GCA_027887145.1,CM051185.1,112153377,TRUE,0.059861545
GCA_027887145.1,CM051185.1,73551655,TRUE,0.383444876
GCA_027887145.1,CM051185.1,73557753,TRUE,0.383393759
GCA_026122265.1,CM047507.1,9460960,TRUE,0.273385456
GCA_026122265.1,CM047516.1,13419848,TRUE,0.428490879
GCA_026122265.1,CM047516.1,13428268,TRUE,0.428759727
GCA_026122265.1,CM047516.1,13431718,TRUE,0.428869884
GCA_026122265.1,CM047516.1,13436206,TRUE,0.429013184
GCA_949987685.1,OX465146.1,10226381,TRUE,0.272988275
GCA_949987685.1,OX465156.1,13991611,TRUE,0.439345728
GCA_949987685.1,OX465156.1,14004427,TRUE,0.439748159
GCA_949987685.1,OX465156.1,14010305,TRUE,0.439932732
GCA_027579445.1,CM050582.1,31519587,TRUE,0.261092015
GCA_027579445.1,CM050582.1,31522600,TRUE,0.261116973
GCA_027579445.1,CM050582.1,31529356,TRUE,0.261172936
GCA_027579445.1,CM050582.1,31535831,TRUE,0.261226572
GCA_027579445.1,CM050582.1,35576836,TRUE,0.294700174
GCA_027579445.1,CM050583.1,109274434,TRUE,0.053967743
GCA_027579445.1,CM050583.1,109279051,TRUE,0.053927771
GCA_027579445.1,CM050583.1,109287333,TRUE,0.053856071
GCA_027579445.1,CM050583.1,109297649,TRUE,0.053766761
GCA_027579445.1,CM050583.1,109308863,TRUE,0.053669677
GCA_027579445.1,CM050583.1,109313182,TRUE,0.053632286
GCA_027579445.1,CM050583.1,109316216,TRUE,0.053606019
GCA_027579445.1,CM050583.1,70773350,TRUE,0.387286947
GCA_027579445.1,CM050583.1,70779466,TRUE,0.387233998
GCA_013435755.1,CM024202.1,16594399,FALSE,0.426124524
GCA_027123335.1,CM049572.1,16459450,TRUE,0.418714082
GCA_027123335.1,CM049572.1,3250996,TRUE,0.082702509
GCA_027123335.1,CM049576.1,23556436,TRUE,0.362975999
GCA_027123335.1,CM049576.1,23560053,TRUE,0.362878186
GCA_027123335.1,CM049576.1,23563913,TRUE,0.362773803
GCA_027123335.1,CM049576.1,23565705,TRUE,0.362725342
GCA_022539595.1,CM040066.1,16355058,TRUE,0.416196853
GCA_022539595.1,CM040066.1,3041646,TRUE,0.077402568
GCA_022539595.1,CM040071.1,13376962,TRUE,0.362714778
GCA_022539595.1,CM040071.1,13378685,TRUE,0.362761497
GCA_022539595.1,CM040071.1,13382495,TRUE,0.362864805
GCA_022539595.1,CM040071.1,13386367,TRUE,0.362969794
GCA_003047355.2,CM009712.1,16946963,TRUE,0.4171164
GCA_003047355.2,CM009719.1,24271657,TRUE,0.368197899
GCA_003047355.2,CM009719.1,24275523,TRUE,0.368097265
GCA_003047355.2,CM009719.1,24277315,TRUE,0.368050619
GCA_900324465.3,LR132038.1,5930367,TRUE,0.207940128
GCA_014839685.1,CM026066.1,10647136,TRUE,0.248110098
GCA_014839685.1,CM026075.1,26077690,TRUE,0.336804179
GCA_015476345.1,CM027243.1,201997073,TRUE,0.025291429
GCA_015476345.1,CM027243.1,81564208,TRUE,0.393576657
GCA_015476345.1,CM027245.1,114480032,TRUE,0.046683039
GCA_015476345.1,CM027245.1,114485144,TRUE,0.04664047
GCA_015476345.1,CM027245.1,114490196,TRUE,0.0465984
GCA_015476345.1,CM027245.1,114495263,TRUE,0.046556205
GCA_013347855.1,CM023574.1,12805285,TRUE,0.265189886
GCA_013347855.1,CM023574.1,16060331,TRUE,0.332599965
GCA_013347855.1,CM023579.1,20789561,TRUE,0.441401122
GCA_013347855.1,CM023579.1,20797827,TRUE,0.441179022
GCA_025169545.1,CM045892.1,13215537,TRUE,0.261768611
GCA_025169545.1,CM045892.1,16499817,TRUE,0.32682245
GCA_025169545.1,CM045897.1,21504333,TRUE,0.438345578
GCA_025169545.1,CM045897.1,21512713,TRUE,0.438126708
GCA_018555375.2,CM031788.1,28634352,TRUE,0.499408954
GCA_018555375.2,CM031790.1,13113349,TRUE,0.292423394
GCA_018555375.2,CM031795.1,20728189,TRUE,0.438514058
GCA_000090745.2,AAWZ02040413.1,3957,TRUE,0.43374356
GCA_000090745.2,CM000938.1,147312068,TRUE,0.262037143
GCA_000090745.2,CM000938.1,149645374,TRUE,0.250348398
GCA_000090745.2,CM000938.1,149660566,TRUE,0.250272294
GCA_000090745.2,CM000938.1,149683227,TRUE,0.250158773
GCA_000090745.2,CM000938.1,149695847,TRUE,0.250095553
GCA_000090745.2,CM000938.1,149712533,TRUE,0.250011964
GCA_000090745.2,CM000938.1,149716271,TRUE,0.249993238
GCA_000090745.2,CM000938.1,149730820,TRUE,0.249920355
GCA_000090745.2,CM000938.1,149742815,TRUE,0.249860266
GCA_000090745.2,CM000938.1,149748904,TRUE,0.249829763
GCA_000090745.2,CM000938.1,149758539,TRUE,0.249781496
GCA_000090745.2,CM000938.1,152373450,TRUE,0.236682045
GCA_000090745.2,CM000938.1,152394250,TRUE,0.236577847
GCA_000090745.2,CM000938.1,152414291,TRUE,0.236477451
GCA_000090745.2,CM000939.1,202846349,TRUE,0.007680699
GCA_000090745.2,CM000939.1,202851747,TRUE,0.007654293
GCA_000090745.2,CM000941.1,150577514,TRUE,0.000425241
GCA_000090745.2,CM000941.1,150590418,TRUE,0.000339581
GCA_000090745.2,CM000941.1,150598647,TRUE,0.000284955
GCA_000090745.2,CM000941.1,150606284,TRUE,0.000234258
GCA_000090745.2,CM000941.1,150626856,TRUE,9.77E-05
GCA_000090745.2,GL343381.1,198025,FALSE,0.189923254
GCA_000090745.2,GL343381.1,216866,FALSE,0.207993417
GCA_000090745.2,GL343381.1,248096,FALSE,0.237945712
GCA_000090745.2,GL343381.1,253683,FALSE,0.243304132
GCA_000090745.2,GL343381.1,264497,FALSE,0.253675702
GCA_000090745.2,GL343381.1,272859,FALSE,0.26169559
GCA_000090745.2,GL343381.1,286453,FALSE,0.274733422
GCA_000090745.2,GL343381.1,297019,FALSE,0.284867138
GCA_000090745.2,GL343381.1,309288,FALSE,0.296634179
GCA_000090745.2,GL343381.1,320543,FALSE,0.307428706
GCA_000090745.2,GL343381.1,331116,FALSE,0.317569136
GCA_000090745.2,GL343381.1,339400,FALSE,0.325514215
GCA_000090745.2,GL343381.1,357830,FALSE,0.343190193
GCA_000090745.2,GL343381.1,387012,FALSE,0.371178277
GCA_000090745.2,GL343381.1,395755,FALSE,0.379563577
GCA_000090745.2,GL343381.1,415858,FALSE,0.398844108
GCA_000090745.2,GL343381.1,418293,FALSE,0.401179486
GCA_000090745.2,GL343391.1,165854,FALSE,0.172553206
GCA_000090745.2,GL343391.1,178657,FALSE,0.185873347
GCA_000090745.2,GL343391.1,186607,FALSE,0.194144465
GCA_000090745.2,GL343407.1,904875,FALSE,0.007317247
GCA_027596085.2,CM053351.1,18253318,TRUE,0.381953938
GCA_027596085.2,CM053351.1,27145508,TRUE,0.080869883
GCA_027596085.2,CM053354.1,16229903,TRUE,0.384622212
GCA_025388735.1,CM046214.1,113159682,TRUE,0.489034196
GCA_025388735.1,CM046214.1,9112063,TRUE,0.041144978
GCA_025388735.1,CM046216.1,16467925,TRUE,0.128762755
GCA_025583725.1,CM046732.1,21289909,TRUE,0.177175853
GCA_025583725.1,CM046733.1,105474014,TRUE,0.119629464
GCA_025583725.1,CM046733.1,54495715,TRUE,0.454864852
GCA_016432865.2,CM028217.1,395952306,TRUE,0.455592631
GCA_016432865.2,CM028219.1,156992400,TRUE,0.246565072
GCA_016432865.2,CM028220.1,6567282,TRUE,0.013507486
GCA_016432865.2,CM028220.1,6582048,TRUE,0.013537856
GCA_016432865.2,CM028220.1,6599354,TRUE,0.013573451
GCA_016432865.2,CM028220.1,6609397,TRUE,0.013594107
GCA_016432865.2,CM028220.1,6639723,TRUE,0.013656481
GCA_016432865.2,CM028220.1,6647277,TRUE,0.013672018
GCA_016432865.2,CM028220.1,6661408,TRUE,0.013701083
GCA_016432865.2,CM028220.1,6665795,TRUE,0.013710106
GCA_016432865.2,CM028221.1,101115875,TRUE,0.336514659
GCA_016432865.2,CM028221.1,101222250,TRUE,0.336868676
GCA_016432865.2,CM028221.1,101231219,TRUE,0.336898525
GCA_016432865.2,CM028221.1,101258657,TRUE,0.336989839
GCA_016432865.2,CM028221.1,101286731,TRUE,0.33708327
GCA_016432865.2,CM028221.1,5173298,TRUE,0.017216788
GCA_016432865.2,CM028221.1,99365614,TRUE,0.330689773
GCA_016432865.2,CM028221.1,99388823,TRUE,0.330767013
GCA_016432865.2,CM028221.1,99548734,TRUE,0.331299198
GCA_016432865.2,CM028221.1,99685444,TRUE,0.33175417
GCA_016432865.2,CM028221.1,99716943,TRUE,0.331858999
GCA_013358685.1,CM023608.1,26789835,TRUE,0.050418515
GCA_013358685.1,CM023618.1,10973100,TRUE,0.488291362
GCA_027563665.1,CM050512.1,12611143,TRUE,0.103668847
GCA_027563665.1,CM050513.1,95699137,TRUE,0.203282816
GCA_027563665.1,CM050513.1,95709551,TRUE,0.203196117
GCA_027563665.1,CM050513.1,95716784,TRUE,0.2031359
GCA_027563665.1,CM050513.1,95725118,TRUE,0.203066518
GCA_027563665.1,CM050513.1,95747667,TRUE,0.202878792
GCA_027563665.1,CM050513.1,95752027,TRUE,0.202842494
GCA_027563665.1,CM050513.1,95767674,TRUE,0.20271223
GCA_027563665.1,CM050513.1,95780183,TRUE,0.202608089
GCA_027563665.1,CM050513.1,95790086,TRUE,0.202525645
GCA_027563665.1,CM050513.1,95800274,TRUE,0.202440827
GCA_027563665.1,CM050521.1,15988389,TRUE,0.183127991
GCA_027563665.1,CM050521.1,16151382,TRUE,0.184994882
GCA_027563665.1,CM050521.1,32077549,TRUE,0.367410194
GCA_027563665.1,CM050521.1,32091525,TRUE,0.367570272
GCA_027563665.1,CM050521.1,32181908,TRUE,0.368605502
GCA_027563665.1,CM050521.1,33049006,TRUE,0.378537079
GCA_027563665.1,CM050521.1,65973958,TRUE,0.244346734
GCA_021346845.1,CM037929.1,11920410,TRUE,0.412002665
GCA_021346845.1,CM037932.1,12813748,TRUE,0.291935677
GCA_021346845.1,CM037932.1,12816540,TRUE,0.291781396
GCA_021346845.1,CM037932.1,12819132,TRUE,0.291638167
GCA_021346845.1,JAHWDR010000651.1,2012,FALSE,0.250651769
GCA_017639675.1,CM030177.1,2336768,TRUE,0.10750352
GCA_017639675.1,CM030177.1,2343582,TRUE,0.107817
GCA_017639675.1,CM030177.1,3241611,TRUE,0.149131019
GCA_017639675.1,CM030177.1,3244837,TRUE,0.149279432
GCA_017639675.1,CM030179.1,11007217,TRUE,0.460235483
GCA_017639675.1,CM030179.1,11013298,TRUE,0.459937287
GCA_017639675.1,CM030185.1,13916042,TRUE,0.259148301
GCA_947179515.1,OX359298.1,167256391,TRUE,0.110625968
GCA_947179515.1,OX359298.1,167336776,TRUE,0.110198527
GCA_947179515.1,OX359298.1,167371932,TRUE,0.110011587
GCA_947179515.1,OX359298.1,167386467,TRUE,0.109934298
GCA_947179515.1,OX359298.1,167395064,TRUE,0.109888584
GCA_947179515.1,OX359298.1,169699472,TRUE,0.097635058
GCA_947179515.1,OX359298.1,169721697,TRUE,0.097516878
GCA_947179515.1,OX359298.1,169764163,TRUE,0.097291068
GCA_947179515.1,OX359298.1,169801134,TRUE,0.097094477
GCA_947179515.1,OX359298.1,169809745,TRUE,0.097048689
GCA_947179515.1,OX359298.1,169880095,TRUE,0.096674608
GCA_947179515.1,OX359298.1,169905088,TRUE,0.096541709
GCA_947179515.1,OX359298.1,169913616,TRUE,0.096496362
GCA_947179515.1,OX359298.1,169918777,TRUE,0.096468919
GCA_947179515.1,OX359298.1,169944372,TRUE,0.096332819
GCA_947179515.1,OX359298.1,169991595,TRUE,0.096081715
GCA_947179515.1,OX359298.1,170036471,TRUE,0.09584309
GCA_947179515.1,OX359298.1,170057062,TRUE,0.095733598
GCA_947179515.1,OX359298.1,170067485,TRUE,0.095678175
GCA_947179515.1,OX359298.1,170081045,TRUE,0.09560607
GCA_947179515.1,OX359298.1,170116692,TRUE,0.09541652
GCA_947179515.1,OX359298.1,170138728,TRUE,0.095299345
GCA_947179515.1,OX359298.1,170160734,TRUE,0.09518233
GCA_947179515.1,OX359298.1,170213837,TRUE,0.094899958
GCA_947179515.1,OX359298.1,170237917,TRUE,0.094771915
GCA_947179515.1,OX359298.1,170269169,TRUE,0.094605734
GCA_947179515.1,OX359298.1,36971309,TRUE,0.196592321
GCA_947179515.1,OX359298.1,47753414,TRUE,0.253925402
GCA_947179515.1,OX359298.1,64817199,TRUE,0.344660872
GCA_947179515.1,OX359298.1,64819512,TRUE,0.344673171
GCA_947179515.1,OX359298.1,65000036,TRUE,0.345633095
GCA_947179515.1,OX359298.1,66765280,TRUE,0.355019655
GCA_947179515.1,OX359298.1,66825371,TRUE,0.355339185
GCA_947179515.1,OX359298.1,67014155,TRUE,0.35634303
GCA_947179515.1,OX359298.1,67019250,TRUE,0.356370123
GCA_947179515.1,OX359298.1,67058219,TRUE,0.356577338
GCA_947179515.1,OX359301.1,31506600,TRUE,0.190822
GCA_947179515.1,OX359313.1,11045393,TRUE,0.122945061
GCA_020740795.1,CM036503.1,5530760,TRUE,0.026789962
GCA_020740795.1,CM036505.1,109476514,TRUE,0.073165265
GCA_020740795.1,CM036505.1,109481588,TRUE,0.073122308
