chromosome,start,stop,accession
PGSH02019610.1,0,1044397,GCA_002915635.3
PGSH02019725.1,0,1056570,GCA_002915635.3
axolotl_10_ab,164971549,166972451,GCA_002915635.3
axolotl_10_ab,167048163,169049302,GCA_002915635.3
axolotl_12_ac,27158667,29159563,GCA_002915635.3
axolotl_13_ab,42114917,44115888,GCA_002915635.3
axolotl_14_ab,480866378,482867322,GCA_002915635.3
axolotl_16_ab,323466481,325467404,GCA_002915635.3
axolotl_17_aa,225525863,227526771,GCA_002915635.3
axolotl_20_aa,429502219,431503112,GCA_002915635.3
axolotl_28_aa,381392241,383393167,GCA_002915635.3
axolotl_4_aa,9641732,11642688,GCA_002915635.3
axolotl_4_aa,10749262,12750161,GCA_002915635.3
axolotl_5_aa,11340651,13341604,GCA_002915635.3
axolotl_5_aa,19861205,21862152,GCA_002915635.3
axolotl_5_aa,47313896,49314858,GCA_002915635.3
axolotl_5_aa,55682126,57683085,GCA_002915635.3
axolotl_5_ab,180376179,182377093,GCA_002915635.3
axolotl_5_ab,184023144,186024040,GCA_002915635.3
axolotl_7_aa,129525418,131526398,GCA_002915635.3
axolotl_7_ac,133675603,135676664,GCA_002915635.3
axolotl_8_aa,104409569,106410516,GCA_002915635.3
axolotl_9_aa,175215663,177216577,GCA_002915635.3
CM022758.1,25302476,27303438,GCA_012411365.1
CM022758.1,8951798,10952736,GCA_012411365.1
CM022780.1,10915766,12916740,GCA_012411365.1
CM030127.1,31825655,33826629,GCA_017591415.1
CM051184.1,31893796,33907971,GCA_027887145.1
CM051185.1,72551655,74558706,GCA_027887145.1
CM051185.1,111106238,113154336,GCA_027887145.1
CM051184.1,35941611,37942576,GCA_027887145.1
CM047516.1,12419848,14437165,GCA_026122265.1
CM047507.1,8460960,10461931,GCA_026122265.1
OX465156.1,12991611,15011264,GCA_949987685.1
OX465146.1,9226381,11227361,GCA_949987685.1
CM050582.1,30519587,32536766,GCA_027579445.1
CM050583.1,69773350,71780419,GCA_027579445.1
CM050583.1,108274434,110317175,GCA_027579445.1
CM050582.1,34576836,36577801,GCA_027579445.1
CM024202.1,15594399,17595379,GCA_013435755.1
CM049576.1,22556436,24566658,GCA_027123335.1
CM049572.1,15459450,17460430,GCA_027123335.1
CM049572.1,2250996,4251964,GCA_027123335.1
CM040071.1,12376962,14387374,GCA_022539595.1
CM040066.1,15355058,17356038,GCA_022539595.1
CM040066.1,2041646,4042608,GCA_022539595.1
CM009719.1,23271657,25278268,GCA_003047355.2
CM009712.1,15946963,17947943,GCA_003047355.2
LR132038.1,4930367,6931350,GCA_900324465.3
CM026066.1,9647136,11648122,GCA_014839685.1
CM026075.1,25077690,27078643,GCA_014839685.1
CM027245.1,113480032,115496294,GCA_015476345.1
CM027243.1,200997073,202998008,GCA_015476345.1
CM027243.1,80564208,82565152,GCA_015476345.1
CM023579.1,19789561,21798777,GCA_013347855.1
CM023574.1,11805285,13806259,GCA_013347855.1
CM023574.1,15060331,17061260,GCA_013347855.1
CM045897.1,20504333,22513663,GCA_025169545.1
CM045892.1,12215537,14216511,GCA_025169545.1
CM045892.1,15499817,17500740,GCA_025169545.1
CM031788.1,27634352,29635326,GCA_018555375.2
CM031790.1,12113349,14114272,GCA_018555375.2
CM031795.1,19728189,21729145,GCA_018555375.2
CM000938.1,148645374,150759441,GCA_000090745.2
CM000938.1,151373450,153415190,GCA_000090745.2
CM000939.1,201846349,203852676,GCA_000090745.2
CM000941.1,149577514,151627758,GCA_000090745.2
GL343381.1,0,1419372,GCA_000090745.2
GL343391.1,0,1187581,GCA_000090745.2
AAWZ02040413.1,0,1004862,GCA_000090745.2
CM000938.1,146312068,148312976,GCA_000090745.2
GL343407.1,0,1905840,GCA_000090745.2
CM053351.1,17253318,19254295,GCA_027596085.2
CM053351.1,26145508,28146641,GCA_027596085.2
CM053354.1,15229903,17230880,GCA_027596085.2
CM046214.1,112159682,114160626,GCA_025388735.1
CM046214.1,8112063,10112998,GCA_025388735.1
CM046216.1,15467925,17468878,GCA_025388735.1
CM046732.1,20289909,22290862,GCA_025583725.1
CM046733.1,104474014,106474958,GCA_025583725.1
CM046733.1,53495715,55496650,GCA_025583725.1
CM028220.1,5567282,7666718,GCA_016432865.2
CM028221.1,98365614,100717947,GCA_016432865.2
CM028221.1,100115875,102287660,GCA_016432865.2
CM028217.1,394952306,396953241,GCA_016432865.2
CM028219.1,155992400,157993362,GCA_016432865.2
CM028221.1,4173298,6174209,GCA_016432865.2
CM023608.1,25789835,27790812,GCA_013358685.1
CM023618.1,9973100,11974038,GCA_013358685.1
CM050513.1,94699137,96801212,GCA_027563665.1
CM050521.1,14988389,17152305,GCA_027563665.1
CM050521.1,31077549,34049962,GCA_027563665.1
CM050512.1,11611143,13612042,GCA_027563665.1
CM050521.1,64973958,66974866,GCA_027563665.1
CM037932.1,11813748,13820091,GCA_021346845.1
CM037929.1,10920410,12921381,GCA_021346845.1
JAHWDR010000651.1,0,1002983,GCA_021346845.1
CM030177.1,1336768,4245784,GCA_017639675.1
CM030179.1,10007217,12014260,GCA_017639675.1
CM030185.1,12916042,14917043,GCA_017639675.1
OX359298.1,166256391,168257329,GCA_947179515.1
OX359298.1,63817199,66001031,GCA_947179515.1
OX359298.1,65765280,68059145,GCA_947179515.1
OX359298.1,166336776,168396023,GCA_947179515.1
OX359298.1,168699472,171270107,GCA_947179515.1
OX359298.1,35971309,37972280,GCA_947179515.1
OX359298.1,46753414,48754397,GCA_947179515.1
OX359301.1,30506600,32507496,GCA_947179515.1
OX359313.1,10045393,12046400,GCA_947179515.1
CM036505.1,108476514,110542816,GCA_020740795.1
CM036503.1,4530760,6531707,GCA_020740795.1
LR606187.1,0,1314354,GCA_900496995.4
LR606199.1,21105529,23106476,GCA_900496995.4
CM054378.1,127442017,129442940,GCA_028858755.1
CM054379.1,18963552,20964502,GCA_028858755.1
CM041085.1,108761479,110813572,GCA_023079485.1
CM041083.1,193592393,195593319,GCA_023079485.1
CM041085.1,115770084,117771043,GCA_023079485.1
CM017280.1,22009258,24010238,GCA_007364275.2
CM053446.1,39263081,41268599,GCA_028646355.1
CM053450.1,84846523,86847440,GCA_028646355.1
OX336895.1,10052285,12056411,GCA_946959425.1
OX336890.1,578322,2579302,GCA_946959425.1
CM022259.1,67914571,70936466,GCA_011762505.1
CM022265.1,20426536,22697406,GCA_011762505.1
CM022265.1,21965824,24066653,GCA_011762505.1
CM022252.1,27725789,29726706,GCA_011762505.1
CM022265.1,37544322,39545221,GCA_011762505.1
CM022265.1,47039983,49041008,GCA_011762505.1
CM022269.1,6980196,8981179,GCA_011762505.1
LR862381.2,15976935,19435573,GCA_903992535.2
LR862381.2,186706997,188820286,GCA_903992535.2
LR862381.2,188068056,190360032,GCA_903992535.2
LR862381.2,160489516,162490556,GCA_903992535.2
LR862381.2,170323568,172324449,GCA_903992535.2
LR862382.1,5589439,7590344,GCA_903992535.2
LR862386.1,28858083,30858976,GCA_903992535.2
CM041799.1,12873976,14874923,GCA_023376895.1
CM041799.1,20267647,22268570,GCA_023376895.1
CM041804.1,18540364,20541326,GCA_023376895.1
JALXFT010003757.1,0,1082550,GCA_023376895.1
JALXFT010004368.1,0,1076121,GCA_023376895.1
LS420030.1,25650271,27651209,GCA_900246225.5
CM041909.1,50004818,52008122,GCA_023375975.1
CM041919.1,36718743,38806589,GCA_023375975.1
CM041919.1,15927882,17928847,GCA_023375975.1
CM041920.1,12227842,14228816,GCA_023375975.1
CM041926.1,11720862,13721878,GCA_023375975.1
CM020302.1,113027714,115033910,GCA_009819795.1
CM020300.1,200731755,202732690,GCA_009819795.1
CM020300.1,81127903,83128847,GCA_009819795.1
CM055154.1,113912618,115918821,GCA_029042245.1
CM055152.1,201554467,203555402,GCA_029042245.1
CM055152.1,81123748,83124692,GCA_029042245.1
CM052690.1,39312969,41444087,GCA_028533215.1
CM052696.1,4975217,8177184,GCA_028533215.1
CM052681.1,249577426,251578325,GCA_028533215.1
CM052696.1,21844274,23845176,GCA_028533215.1
CM052696.1,3844482,5845657,GCA_028533215.1
CM020949.2,27601372,29602274,GCA_009873245.3
CM020950.2,8055088,10056017,GCA_009873245.3
OX344778.1,21300598,23305411,GCA_947034865.1
OX344776.1,11634334,13635242,GCA_947034865.1
OX344778.1,12537251,14538228,GCA_947034865.1
OW387177.1,17649116,19650039,GCA_936440315.1
OW387178.1,16925439,18926506,GCA_936440315.1
OW387178.1,23717332,25718279,GCA_936440315.1
OW387195.1,13993176,15994285,GCA_936440315.1
OW387196.1,13169342,15170304,GCA_936440315.1
OW387196.1,25728352,27729335,GCA_936440315.1
CM032806.1,453571,2454542,GCA_019155185.1
CM032806.1,8077550,10078536,GCA_019155185.1
LR132023.3,15095277,17096443,GCA_900634795.4
fire-bellied_toad_11_aa,10707780,15353581,GCA_027579735.1
fire-bellied_toad_2_aa,505743741,507907481,GCA_027579735.1
fire-bellied_toad_4_aa,65286378,70316761,GCA_027579735.1
fire-bellied_toad_9_aa,263998439,266376742,GCA_027579735.1
JAQBIC010000273.1,0,1284054,GCA_027579735.1
fire-bellied_toad_11_aa,8255718,10256635,GCA_027579735.1
fire-bellied_toad_9_aa,265394810,267395808,GCA_027579735.1
fire-bellied_toad_9_aa,285117346,287118269,GCA_027579735.1
OX465220.1,20178075,22179022,GCA_949987555.1
CM024438.1,83293158,85595082,GCA_014182915.2
CM024439.1,20389203,22620045,GCA_014182915.2
CM024438.1,104544425,106545333,GCA_014182915.2
CM024438.1,71660183,73661073,GCA_014182915.2
CM024454.1,12141108,14141998,GCA_014182915.2
JACAOC010000146.1,0,1024769,GCA_014182915.2
CM016693.1,344983,2648884,GCA_005887515.3
CM016693.1,15179986,17194204,GCA_005887515.3
CM016694.1,2072897,4302386,GCA_005887515.3
CM016693.1,107355062,109355970,GCA_005887515.3
CM016693.1,34645153,36646142,GCA_005887515.3
CM016712.1,15953494,17954384,GCA_005887515.3
CM003024.1,107717731,109718681,GCA_000247795.2
CM003024.1,107731102,109946814,GCA_000247795.2
CM003024.1,109560933,111911850,GCA_000247795.2
CM003025.1,104650877,106925446,GCA_000247795.2
CM003024.1,20234669,22235577,GCA_000247795.2
CM003024.1,89386400,91387389,GCA_000247795.2
CM003040.1,66455733,68456623,GCA_000247795.2
CM050783.1,10937102,13238821,GCA_027580195.1
CM050783.1,17719212,19940592,GCA_027580195.1
CM050784.1,74996149,77214780,GCA_027580195.1
CM050783.1,30711923,32712912,GCA_027580195.1
CM050783.1,96963249,98964157,GCA_027580195.1
CM050799.1,62383033,64383923,GCA_027580195.1
CM008171.2,104035964,106036914,GCA_002263795.3
CM008171.2,104049335,106265590,GCA_002263795.3
CM008171.2,105578304,107880906,GCA_002263795.3
CM008172.2,97558817,99782207,GCA_002263795.3
CM008171.2,19556638,21557546,GCA_002263795.3
CM008171.2,86407411,88408400,GCA_002263795.3
CM008187.2,62557628,64558518,GCA_002263795.3
CM036240.1,14496713,16499152,GCA_020698575.1
CM036249.1,25340832,27341818,GCA_020698575.1
CM043636.1,3522064,5523020,GCA_023856365.1
CM043636.1,8878681,10879655,GCA_023856365.1
CM034274.1,20066723,22259125,GCA_019923935.1
CM034278.1,103465719,105654127,GCA_019923935.1
CM034278.1,105128969,107441164,GCA_019923935.1
CM034278.1,19200382,21201290,GCA_019923935.1
CM034278.1,85924768,87925757,GCA_019923935.1
CM034289.1,62418985,64419875,GCA_019923935.1
CM055790.1,22101183,24291452,GCA_029407905.2
CM055797.1,107368176,109570555,GCA_029407905.2
CM055797.1,109031139,111343248,GCA_029407905.2
CM055797.1,22411296,24412204,GCA_029407905.2
CM055807.1,64532281,66533171,GCA_029407905.2
CM020024.1,50790451,52791404,GCA_009769605.1
CM020024.1,97380618,99381565,GCA_009769605.1
CM041232.1,105641707,107642657,GCA_023091745.2
CM041232.1,105655070,107809644,GCA_023091745.2
CM041232.1,106928263,109233516,GCA_023091745.2
CM041233.1,141225216,143428705,GCA_023091745.2
CM041232.1,21529107,23530102,GCA_023091745.2
CM041232.1,88216540,90217529,GCA_023091745.2
CM041248.1,65534090,67534980,GCA_023091745.2
LR991668.1,295543421,297924635,GCA_905171765.1
LR991670.1,13506319,15568488,GCA_905171765.1
LR991670.1,36189865,39956785,GCA_905171765.1
LR991672.1,23627421,25700217,GCA_905171765.1
LR991672.1,100326515,103421984,GCA_905171765.1
LR991673.1,1852699,4143678,GCA_905171765.1
LR991673.1,4924757,7492409,GCA_905171765.1
LR991677.1,82723125,85720424,GCA_905171765.1
CAJIMN010000468.1,0,1005021,GCA_905171765.1
LR991673.1,9119440,11120324,GCA_905171765.1
LR991677.1,87067508,89068437,GCA_905171765.1
CM026465.1,500676332,502905377,GCA_014858855.1
CM026468.1,47668754,51941436,GCA_014858855.1
CM026468.1,64996695,67114893,GCA_014858855.1
CM026470.1,289788996,292788487,GCA_014858855.1
CM026470.1,361528526,363574989,GCA_014858855.1
CM026472.1,198837358,201465344,GCA_014858855.1
CM026475.1,76189313,79546781,GCA_014858855.1
CM026475.1,82049899,84073481,GCA_014858855.1
JABFFT010000493.1,0,1268063,GCA_014858855.1
CM026465.1,407951730,409952650,GCA_014858855.1
CM026465.1,410493683,412494777,GCA_014858855.1
CM026472.1,194803934,196804818,GCA_014858855.1
CM026475.1,71552146,73553003,GCA_014858855.1
CM026475.1,84704971,86705870,GCA_014858855.1
JABFFT010000389.1,0,1065925,GCA_014858855.1
JABFFT010000676.1,0,1033651,GCA_014858855.1
CM042850.1,6188754,8197845,GCA_023653725.1
CM030751.1,113716966,115918926,GCA_018104995.1
CM030749.1,112526277,114527221,GCA_018104995.1
CM030749.1,2734141,4735073,GCA_018104995.1
CM021922.1,100291270,102596718,GCA_011100555.2
CM021922.1,101726101,103869789,GCA_011100555.2
CM021923.1,9072827,12256149,GCA_011100555.2
CM021916.1,191844972,193845871,GCA_011100555.2
CM021922.1,120315579,122316457,GCA_011100555.2
CM021922.1,42244677,44245585,GCA_011100555.2
CM012116.1,108234763,110265544,GCA_003957555.2
CM012114.1,191587311,193588237,GCA_003957555.2
LR595696.1,86784398,88789606,GCA_901933205.1
LR595697.1,106003242,108007709,GCA_901933205.1
LR595697.1,44950823,46951776,GCA_901933205.1
CM016633.2,73516544,75625140,GCA_000803125.3
CM016633.2,74633645,76835123,GCA_000803125.3
CM016660.2,14202553,16248307,GCA_000803125.3
CM016629.2,6149029,8149916,GCA_000803125.3
CM016633.2,29744985,31745914,GCA_000803125.3
CM020774.1,16854143,20036768,GCA_009834535.1
CM020801.1,13584999,15623518,GCA_009834535.1
CM020770.1,5779003,7779890,GCA_009834535.1
CM020774.1,53674125,55675054,GCA_009834535.1
HG994398.1,53413133,56690107,GCA_905319855.2
HG994408.1,33988627,36148871,GCA_905319855.2
HG994400.1,32633299,34634330,GCA_905319855.2
HG994410.1,36671952,38672845,GCA_905319855.2
CM003217.1,99223736,101224686,GCA_000978405.1
CM003217.1,99238004,101396705,GCA_000978405.1
CM003217.1,100666945,103034479,GCA_000978405.1
CM003218.1,89417205,91478082,GCA_000978405.1
CM003219.1,45986724,48120146,GCA_000978405.1
CM003217.1,17001075,19002070,GCA_000978405.1
CM003217.1,80317624,82318613,GCA_000978405.1
CM003234.1,59329160,61330050,GCA_000978405.1
CM004565.1,12718114,15023661,GCA_001704415.2
CM004565.1,14218451,16392294,GCA_001704415.2
CM004566.1,96248263,98457855,GCA_001704415.2
CM004565.1,31789705,33790694,GCA_001704415.2
CM004565.1,98995411,100996406,GCA_001704415.2
CM004581.1,62559940,64560830,GCA_001704415.2
OU015524.1,117091703,119107369,GCA_907165065.1
OU015523.1,118985809,120986756,GCA_907165065.1
OU015523.1,19401857,21402780,GCA_907165065.1
CM010439.1,17690010,19690975,GCA_003368295.1
CM010439.1,22119494,24120459,GCA_003368295.1
CM010439.1,3870888,5871871,GCA_003368295.1
CM010440.1,11425434,13426378,GCA_003368295.1
CM010440.1,18974051,20974971,GCA_003368295.1
CM010465.1,14821299,16822195,GCA_003368295.1
QPKE01000628.1,0,1066998,GCA_003368295.1
QPKE01000946.1,369697,2370866,GCA_003368295.1
QPKE01003394.1,0,1164785,GCA_003368295.1
QPKE01005551.1,0,1120805,GCA_003368295.1
CM043229.1,12982718,14983695,GCA_023724105.1
CM043229.1,23739279,25740271,GCA_023724105.1
CM043230.1,15700573,17701538,GCA_023724105.1
CM043230.1,3793980,5794963,GCA_023724105.1
CM043232.1,15347402,17348322,GCA_023724105.1
CM043232.1,21100067,23101011,GCA_023724105.1
CM042762.1,67581976,70205299,GCA_023653815.1
CM020257.1,1125214,3126149,GCA_009819825.1
CM020273.1,4670023,6670967,GCA_009819825.1
CM038152.1,11799077,14113985,GCA_021442165.1
CM038152.1,13468197,15625654,GCA_021442165.1
CM038168.1,47963378,50418683,GCA_021442165.1
CM038152.1,29803753,31804658,GCA_021442165.1
CM038152.1,63645209,65646117,GCA_021442165.1
CM038169.1,7156425,9157501,GCA_021442165.1
CM053386.1,9845712,12873317,GCA_028627265.1
CM053391.1,32616127,34807658,GCA_028627265.1
CM053391.1,34420736,36459954,GCA_028627265.1
JAQQSH010002586.1,0,1011268,GCA_028627265.1
CM053386.1,25209371,27210246,GCA_028627265.1
JAQQSH010009578.1,0,1004193,GCA_028627265.1
JAQQSH010019309.1,0,1006260,GCA_028627265.1
JAQQSH010030538.1,0,1000940,GCA_028627265.1
JAQQSH010082428.1,0,1001952,GCA_028627265.1
CM031857.1,27073907,29074842,GCA_018697195.1
CM031857.1,31462958,33463923,GCA_018697195.1
CM031859.1,3257559,5258509,GCA_018697195.1
CM033193.1,99878837,101879883,GCA_019320065.1
CM033193.1,98446258,100616521,GCA_019320065.1
CM033193.1,99930163,102141812,GCA_019320065.1
CM033211.1,19544386,21752442,GCA_019320065.1
CM033193.1,18025945,20026853,GCA_019320065.1
CM033193.1,81791582,83792571,GCA_019320065.1
CM033206.1,63126218,65127117,GCA_019320065.1
OU343095.1,109771735,111772685,GCA_910594005.1
OU343095.1,109783608,111942090,GCA_910594005.1
OU343095.1,111137961,113403190,GCA_910594005.1
OU343099.1,20130119,22337698,GCA_910594005.1
OU343095.1,29266965,31267873,GCA_910594005.1
OU343095.1,92974840,94975829,GCA_910594005.1
OU343102.1,62743004,64743903,GCA_910594005.1
CM021209.1,97173612,100574332,GCA_010411085.1
CM021213.1,36472104,38662153,GCA_010411085.1
CM021209.1,17843436,19844344,GCA_010411085.1
CM021209.1,80588168,82589157,GCA_010411085.1
CM021216.1,69692734,71693633,GCA_010411085.1
CM043793.1,30252202,32253221,GCA_023974075.1
CM044601.1,17014211,19015248,GCA_024489055.1
CM044601.1,4483150,6484127,GCA_024489055.1
CM044606.1,24529375,26530301,GCA_024489055.1
LR697106.1,52198809,54377926,GCA_902362185.1
LR697115.1,3701776,5706554,GCA_902362185.1
LR697115.1,34644494,36658626,GCA_902362185.1
CM031343.1,52347400,54348518,GCA_018320785.1
CM031343.1,5597392,7598372,GCA_018320785.1
CM031353.1,19878243,21879175,GCA_018320785.1
CM056831.1,25645158,27646102,GCA_029853015.1
CM030625.1,15548398,17550864,GCA_017976325.1
CM030617.1,26279613,28280611,GCA_017976325.1
CM026900.1,133691895,135692833,GCA_015237465.2
CM020535.1,110102862,112186509,GCA_009829145.1
CM020534.1,86189576,88190541,GCA_009829145.1
CM020534.1,90213009,92213944,GCA_009829145.1
CM001952.2,9621391,12143994,GCA_000409795.2
CM001962.2,109516303,111673519,GCA_000409795.2
CM001962.2,111058368,113375683,GCA_000409795.2
CM001944.2,8174286,10175185,GCA_000409795.2
CM001962.2,44631923,46632837,GCA_000409795.2
CM001962.2,90783088,92783963,GCA_000409795.2
CM026694.1,47454866,49886865,GCA_015220235.1
CM026697.1,121012694,123215562,GCA_015220235.1
CM026694.1,45899186,47900112,GCA_015220235.1
CM026700.1,33381604,35382497,GCA_015220235.1
CM002657.2,112843147,114844076,GCA_000241765.5
CM002657.2,62297351,64340427,GCA_000241765.5
CM002657.2,112864099,114922696,GCA_000241765.5
CM002657.2,91571340,93572296,GCA_000241765.5
ML621257.1,1728447,3729379,GCA_000241765.5
CM052477.1,46514071,49596085,GCA_028533335.1
CM052484.1,9388778,11475473,GCA_028533335.1
CM052473.1,31897005,33898036,GCA_028533335.1
CM052485.1,3631187,5632080,GCA_028533335.1
CM030193.1,5074265,7075212,GCA_017639555.1
CM030195.1,6015122,8016078,GCA_017639555.1
CM044236.1,27949026,29949979,GCA_024256425.2
CM044236.1,7241144,9242085,GCA_024256425.2
CM044240.1,21888442,23889416,GCA_024256425.2
LR535858.1,13774406,15775353,GCA_900700415.2
LR535858.1,14909313,16910251,GCA_900700415.2
LR535858.1,27314793,29315818,GCA_900700415.2
LR535863.1,24838071,26839057,GCA_900700415.2
CM052930.1,20877228,23595659,GCA_028534165.1
CM052936.1,54722091,57975664,GCA_028534165.1
CM052906.1,23259057,25259962,GCA_028534165.1
JAPYYN010000910.1,0,1004302,GCA_028534165.1
JAPYYN010003904.1,0,1010761,GCA_028534165.1
JAPYYN010016228.1,0,1002016,GCA_028534165.1
JAPYYN010021243.1,0,1004213,GCA_028534165.1
JAPYYN010033042.1,0,1003573,GCA_028534165.1
JAPYYN010087091.1,0,1000933,GCA_028534165.1
CM050213.1,11796741,13797643,GCA_027475355.1
CM050213.1,20422635,22423708,GCA_027475355.1
CM050217.1,2621085,4622095,GCA_027475355.1
CM037631.1,38418199,41357170,GCA_015227895.2
CM037641.1,18711171,20717940,GCA_015227895.2
CM054346.1,40341752,42353284,GCA_028858725.1
CM054345.1,4028651,6029598,GCA_028858725.1
CM014079.1,14750182,16753890,GCA_004119915.2
CM014079.1,16102873,18106608,GCA_004119915.2
CM014088.1,33523659,35845205,GCA_004119915.2
CM014095.1,3050923,5051870,GCA_004119915.2
CM038419.1,81740991,83951676,GCA_021498455.1
CM038419.1,83255911,85563972,GCA_021498455.1
CM038423.1,125744507,127959574,GCA_021498455.1
CM038423.1,132214655,134418791,GCA_021498455.1
CM038415.1,8648305,10649204,GCA_021498455.1
CM038419.1,10979200,12980114,GCA_021498455.1
CM038419.1,61844372,63845247,GCA_021498455.1
CM023912.1,28139544,30156822,GCA_013407035.1
CM023912.1,32147601,34148566,GCA_013407035.1
CM023914.1,104618452,106619414,GCA_013407035.1
CM007527.1,105260832,107261785,GCA_001887795.1
CM056184.1,24801530,26802504,GCA_029692045.1
CM056188.1,27278855,29279820,GCA_029692045.1
CM036438.1,0,1536234,GCA_020615455.1
CM036454.1,37268825,39298783,GCA_020615455.1
CM036439.1,29267001,31267945,GCA_020615455.1
